count_point_id;measure_datetime;flow[veh/h];occupancy[%];speed[km/h];flow_confidence;occupancy_confidence;speed_confidence
97;2023-07-17T00:00:00+02:00;189;;;F;;
98;2023-07-17T00:00:00+02:00;189;;;F;;
111;2023-07-17T00:00:00+02:00;168;;;F;;
112;2023-07-17T00:00:00+02:00;167;;;F;;
115;2023-07-17T00:00:00+02:00;159;;;F;;
116;2023-07-17T00:00:00+02:00;158;;;F;;
117;2023-07-17T00:00:00+02:00;216;;;F;;
118;2023-07-17T00:00:00+02:00;216;;;F;;
121;2023-07-17T00:00:00+02:00;260;;;F;;
122;2023-07-17T00:00:00+02:00;259;;;F;;
123;2023-07-17T00:00:00+02:00;260;;;F;;
124;2023-07-17T00:00:00+02:00;261;;;F;;
129;2023-07-17T00:00:00+02:00;260;;;F;;
130;2023-07-17T00:00:00+02:00;262;;;F;;
131;2023-07-17T00:00:00+02:00;302;;;F;;
132;2023-07-17T00:00:00+02:00;304;;;F;;
137;2023-07-17T00:00:00+02:00;180;;;F;;
142;2023-07-17T00:00:00+02:00;160;;;F;;
143;2023-07-17T00:00:00+02:00;155;;;F;;
144;2023-07-17T00:00:00+02:00;236;;;F;;
145;2023-07-17T00:00:00+02:00;239;;;F;;
148;2023-07-17T00:00:00+02:00;193;;;F;;
149;2023-07-17T00:00:00+02:00;194;;;F;;
150;2023-07-17T00:00:00+02:00;175;;;F;;
151;2023-07-17T00:00:00+02:00;176;;;F;;
154;2023-07-17T00:00:00+02:00;150;;;F;;
156;2023-07-17T00:00:00+02:00;168;;;F;;
157;2023-07-17T00:00:00+02:00;165;;;F;;
172;2023-07-17T00:00:00+02:00;236;;;A;;
173;2023-07-17T00:00:00+02:00;261;;;A;;
180;2023-07-17T00:00:00+02:00;129;;;F;;
393;2023-07-17T00:00:00+02:00;181;;;F;;
394;2023-07-17T00:00:00+02:00;181;;;F;;
397;2023-07-17T00:00:00+02:00;265;;;F;;
403;2023-07-17T00:00:00+02:00;165;;;F;;
97;2023-07-17T00:02:24+02:00;189;;;E;;
98;2023-07-17T00:02:24+02:00;189;;;E;;
111;2023-07-17T00:02:24+02:00;168;;;E;;
112;2023-07-17T00:02:24+02:00;167;;;E;;
115;2023-07-17T00:02:24+02:00;159;;;E;;
116;2023-07-17T00:02:24+02:00;158;;;E;;
117;2023-07-17T00:02:24+02:00;0;;;D;;
118;2023-07-17T00:02:24+02:00;0;;;D;;
121;2023-07-17T00:02:24+02:00;600;;;D;;
122;2023-07-17T00:02:24+02:00;0;;;D;;
123;2023-07-17T00:02:24+02:00;260;;;E;;
124;2023-07-17T00:02:24+02:00;261;;;E;;
129;2023-07-17T00:02:24+02:00;260;;;E;;
130;2023-07-17T00:02:24+02:00;262;;;E;;
131;2023-07-17T00:02:24+02:00;0;;;D;;
132;2023-07-17T00:02:24+02:00;0;;;D;;
137;2023-07-17T00:02:24+02:00;180;;;E;;
142;2023-07-17T00:02:24+02:00;203;;;C;;
143;2023-07-17T00:02:24+02:00;155;;;E;;
144;2023-07-17T00:02:24+02:00;236;;;E;;
145;2023-07-17T00:02:24+02:00;239;;;E;;
148;2023-07-17T00:02:24+02:00;193;;;E;;
149;2023-07-17T00:02:24+02:00;194;;;E;;
150;2023-07-17T00:02:24+02:00;175;;;E;;
151;2023-07-17T00:02:24+02:00;176;;;E;;
154;2023-07-17T00:02:24+02:00;150;;;E;;
156;2023-07-17T00:02:24+02:00;168;;;E;;
157;2023-07-17T00:02:24+02:00;165;;;E;;
180;2023-07-17T00:02:24+02:00;129;;;E;;
393;2023-07-17T00:02:24+02:00;0;;;D;;
394;2023-07-17T00:02:24+02:00;0;;;D;;
397;2023-07-17T00:02:24+02:00;265;;;E;;
403;2023-07-17T00:02:24+02:00;165;;;E;;
97;2023-07-17T00:06:00+02:00;189;;;F;;
98;2023-07-17T00:06:00+02:00;189;;;F;;
111;2023-07-17T00:06:00+02:00;168;;;F;;
112;2023-07-17T00:06:00+02:00;167;;;F;;
115;2023-07-17T00:06:00+02:00;159;;;F;;
116;2023-07-17T00:06:00+02:00;158;;;F;;
117;2023-07-17T00:06:00+02:00;216;;;F;;
118;2023-07-17T00:06:00+02:00;216;;;F;;
121;2023-07-17T00:06:00+02:00;260;;;F;;
122;2023-07-17T00:06:00+02:00;259;;;F;;
123;2023-07-17T00:06:00+02:00;260;;;F;;
124;2023-07-17T00:06:00+02:00;261;;;F;;
129;2023-07-17T00:06:00+02:00;260;;;F;;
130;2023-07-17T00:06:00+02:00;262;;;F;;
131;2023-07-17T00:06:00+02:00;302;;;F;;
132;2023-07-17T00:06:00+02:00;304;;;F;;
137;2023-07-17T00:06:00+02:00;180;;;F;;
142;2023-07-17T00:06:00+02:00;160;;;F;;
143;2023-07-17T00:06:00+02:00;155;;;F;;
144;2023-07-17T00:06:00+02:00;236;;;F;;
145;2023-07-17T00:06:00+02:00;239;;;F;;
148;2023-07-17T00:06:00+02:00;193;;;F;;
149;2023-07-17T00:06:00+02:00;194;;;F;;
150;2023-07-17T00:06:00+02:00;175;;;F;;
151;2023-07-17T00:06:00+02:00;176;;;F;;
154;2023-07-17T00:06:00+02:00;150;;;F;;
156;2023-07-17T00:06:00+02:00;168;;;F;;
157;2023-07-17T00:06:00+02:00;165;;;F;;
180;2023-07-17T00:06:00+02:00;129;;;F;;
393;2023-07-17T00:06:00+02:00;181;;;F;;
394;2023-07-17T00:06:00+02:00;181;;;F;;
397;2023-07-17T00:06:00+02:00;265;;;F;;
403;2023-07-17T00:06:00+02:00;165;;;F;;
97;2023-07-17T00:12:00+02:00;189;;;F;;
98;2023-07-17T00:12:00+02:00;189;;;F;;
111;2023-07-17T00:12:00+02:00;168;;;F;;
112;2023-07-17T00:12:00+02:00;167;;;F;;
115;2023-07-17T00:12:00+02:00;159;;;F;;
116;2023-07-17T00:12:00+02:00;158;;;F;;
117;2023-07-17T00:12:00+02:00;216;;;F;;
118;2023-07-17T00:12:00+02:00;216;;;F;;
121;2023-07-17T00:12:00+02:00;260;;;F;;
122;2023-07-17T00:12:00+02:00;259;;;F;;
123;2023-07-17T00:12:00+02:00;260;;;F;;
124;2023-07-17T00:12:00+02:00;261;;;F;;
129;2023-07-17T00:12:00+02:00;260;;;F;;
130;2023-07-17T00:12:00+02:00;262;;;F;;
131;2023-07-17T00:12:00+02:00;302;;;F;;
132;2023-07-17T00:12:00+02:00;304;;;F;;
137;2023-07-17T00:12:00+02:00;180;;;F;;
142;2023-07-17T00:12:00+02:00;160;;;F;;
143;2023-07-17T00:12:00+02:00;155;;;F;;
144;2023-07-17T00:12:00+02:00;236;;;F;;
145;2023-07-17T00:12:00+02:00;239;;;F;;
148;2023-07-17T00:12:00+02:00;193;;;F;;
149;2023-07-17T00:12:00+02:00;194;;;F;;
150;2023-07-17T00:12:00+02:00;175;;;F;;
151;2023-07-17T00:12:00+02:00;176;;;F;;
154;2023-07-17T00:12:00+02:00;150;;;F;;
156;2023-07-17T00:12:00+02:00;168;;;F;;
157;2023-07-17T00:12:00+02:00;165;;;F;;
180;2023-07-17T00:12:00+02:00;129;;;F;;
393;2023-07-17T00:12:00+02:00;181;;;F;;
394;2023-07-17T00:12:00+02:00;181;;;F;;
397;2023-07-17T00:12:00+02:00;265;;;F;;
403;2023-07-17T00:12:00+02:00;165;;;F;;
97;2023-07-17T00:13:48+02:00;189;;;E;;
98;2023-07-17T00:13:48+02:00;189;;;E;;
111;2023-07-17T00:13:48+02:00;168;;;E;;
112;2023-07-17T00:13:48+02:00;167;;;E;;
115;2023-07-17T00:13:48+02:00;159;;;E;;
116;2023-07-17T00:13:48+02:00;158;;;E;;
117;2023-07-17T00:13:48+02:00;0;;;D;;
118;2023-07-17T00:13:48+02:00;0;;;D;;
121;2023-07-17T00:13:48+02:00;547;;;D;;
122;2023-07-17T00:13:48+02:00;0;;;D;;
123;2023-07-17T00:13:48+02:00;260;;;E;;
124;2023-07-17T00:13:48+02:00;261;;;E;;
129;2023-07-17T00:13:48+02:00;260;;;E;;
130;2023-07-17T00:13:48+02:00;262;;;E;;
131;2023-07-17T00:13:48+02:00;0;;;D;;
132;2023-07-17T00:13:48+02:00;0;;;D;;
137;2023-07-17T00:13:48+02:00;180;;;E;;
142;2023-07-17T00:13:48+02:00;170;;;A;;
143;2023-07-17T00:13:48+02:00;155;;;E;;
144;2023-07-17T00:13:48+02:00;236;;;E;;
145;2023-07-17T00:13:48+02:00;239;;;E;;
148;2023-07-17T00:13:48+02:00;193;;;E;;
149;2023-07-17T00:13:48+02:00;194;;;E;;
150;2023-07-17T00:13:48+02:00;175;;;E;;
151;2023-07-17T00:13:48+02:00;176;;;E;;
154;2023-07-17T00:13:48+02:00;150;;;E;;
156;2023-07-17T00:13:48+02:00;168;;;E;;
157;2023-07-17T00:13:48+02:00;165;;;E;;
180;2023-07-17T00:13:48+02:00;129;;;E;;
393;2023-07-17T00:13:48+02:00;0;;;D;;
394;2023-07-17T00:13:48+02:00;0;;;D;;
397;2023-07-17T00:13:48+02:00;265;;;E;;
403;2023-07-17T00:13:48+02:00;165;;;E;;
97;2023-07-17T00:18:00+02:00;189;;;F;;
98;2023-07-17T00:18:00+02:00;189;;;F;;
111;2023-07-17T00:18:00+02:00;168;;;F;;
112;2023-07-17T00:18:00+02:00;167;;;F;;
115;2023-07-17T00:18:00+02:00;159;;;F;;
116;2023-07-17T00:18:00+02:00;158;;;F;;
117;2023-07-17T00:18:00+02:00;216;;;F;;
118;2023-07-17T00:18:00+02:00;216;;;F;;
121;2023-07-17T00:18:00+02:00;260;;;F;;
122;2023-07-17T00:18:00+02:00;259;;;F;;
123;2023-07-17T00:18:00+02:00;260;;;F;;
124;2023-07-17T00:18:00+02:00;261;;;F;;
129;2023-07-17T00:18:00+02:00;260;;;F;;
130;2023-07-17T00:18:00+02:00;262;;;F;;
131;2023-07-17T00:18:00+02:00;302;;;F;;
132;2023-07-17T00:18:00+02:00;304;;;F;;
137;2023-07-17T00:18:00+02:00;180;;;F;;
142;2023-07-17T00:18:00+02:00;160;;;F;;
143;2023-07-17T00:18:00+02:00;155;;;F;;
144;2023-07-17T00:18:00+02:00;236;;;F;;
145;2023-07-17T00:18:00+02:00;239;;;F;;
148;2023-07-17T00:18:00+02:00;193;;;F;;
149;2023-07-17T00:18:00+02:00;194;;;F;;
150;2023-07-17T00:18:00+02:00;175;;;F;;
151;2023-07-17T00:18:00+02:00;176;;;F;;
154;2023-07-17T00:18:00+02:00;150;;;F;;
156;2023-07-17T00:18:00+02:00;168;;;F;;
157;2023-07-17T00:18:00+02:00;165;;;F;;
180;2023-07-17T00:18:00+02:00;129;;;F;;
393;2023-07-17T00:18:00+02:00;181;;;F;;
394;2023-07-17T00:18:00+02:00;181;;;F;;
397;2023-07-17T00:18:00+02:00;265;;;F;;
403;2023-07-17T00:18:00+02:00;165;;;F;;
97;2023-07-17T00:24:00+02:00;189;;;F;;
98;2023-07-17T00:24:00+02:00;189;;;F;;
111;2023-07-17T00:24:00+02:00;168;;;F;;
112;2023-07-17T00:24:00+02:00;167;;;F;;
115;2023-07-17T00:24:00+02:00;159;;;F;;
116;2023-07-17T00:24:00+02:00;158;;;F;;
117;2023-07-17T00:24:00+02:00;216;;;F;;
118;2023-07-17T00:24:00+02:00;216;;;F;;
121;2023-07-17T00:24:00+02:00;260;;;F;;
122;2023-07-17T00:24:00+02:00;259;;;F;;
123;2023-07-17T00:24:00+02:00;260;;;F;;
124;2023-07-17T00:24:00+02:00;261;;;F;;
129;2023-07-17T00:24:00+02:00;260;;;F;;
130;2023-07-17T00:24:00+02:00;262;;;F;;
131;2023-07-17T00:24:00+02:00;302;;;F;;
132;2023-07-17T00:24:00+02:00;304;;;F;;
137;2023-07-17T00:24:00+02:00;180;;;F;;
142;2023-07-17T00:24:00+02:00;160;;;F;;
143;2023-07-17T00:24:00+02:00;155;;;F;;
144;2023-07-17T00:24:00+02:00;236;;;F;;
145;2023-07-17T00:24:00+02:00;239;;;F;;
148;2023-07-17T00:24:00+02:00;193;;;F;;
